Code,M201_1.1,M201_1.2,M201_2.1,M201_3.1,M201_3.2,M201_4.1,M201_4.2,M201_4.3,M201_4.4,M201_5.1,M201_5.2,M201_Q1,M201_QS1,M201_Q2,M201_QS2,M201_Q3,M201_QS3,M201_Q4,M201_QS4,M201_Q5,M201_QS5,M201-k,M201-u,M201-u-k,M301_1.1,M301_1.2,M301_2.1,M301_3.1,M301_3.2,M301_4.1,M301_4.2,M301_4.3,M301_4.4,M301_5.1,M301_5.2,M301_Q1,M301_QS1,M301_Q2,M301_QS2,M301_Q3,M301_QS3,M301_Q4,M301_QS4,M301_Q5,M301_QS5,M301-k,M301-u,M301-u-k,M305_1.1,M305_1.2,M305_2.1,M305_3.1,M305_3.2,M305_4.1,M305_4.2,M305_4.3,M305_4.4,M305_5.1,M305_5.2,M305_Q1,M305_QS1,M305_Q2,M305_QS2,M305_Q3,M305_QS3,M305_Q4,M305_QS4,M305_Q5,M305_QS5,M305-k,M305-u,M305-u-k,NoteMathe,NoteNatW,Weiblich,B1,B1s,B2,B3,B4,B4s,B5,B6,B7,B7s,B8,B9,B10,B10i,B11,B12,B12i,SESSKOabs
ABCF_1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,4.5,4.8,0,3,3.6666666667,3,2,3,3.6666666667,2,2,3,3.6666666667,2,2,2,3.6666666667,2,1,5,22.0833333333
ABCF_2,1,0,3,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,3,3,0,3.8,3.7,1,3,3.6666666667,3,3,2,2.3333333333,2,1,2,2.3333333333,2,3,2,3.6666666667,2,2,3.6666666667,17.9166666667
ABCF_3,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,5.3,4.4,1,3,3.6666666667,3,4,3,3.6666666667,2,2,2,2.3333333333,2,2,2,3.6666666667,2,2,3.6666666667,19.1666666667
ABCF_4,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,4.5,4.8,0,3,3.6666666667,3,2,3,3.6666666667,2,2,2,2.3333333333,2,2,2,3.6666666667,2,2,3.6666666667,19.1666666667
ABCF_5,0,1,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,4.3,0,2,2.3333333333,3,2,2,2.3333333333,2,1,2,2.3333333333,3,3,3,2.3333333333,3,2,3.6666666667,15
ABCF_6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,2,1,5.5,5,0,3,3.6666666667,4,3,4,5,2,2,3,3.6666666667,,3,4,1,,2,3.6666666667,18.3333333333
ABCF_7,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,2,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,2,5,5,1,3,3.6666666667,3,3,3,3.6666666667,3,2,3,3.6666666667,3,3,3,2.3333333333,3,2,3.6666666667,18.75
ABCF_11,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,2,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,3,3,0,5.5,,1,3,3.6666666667,3,2,3,3.6666666667,3,3,4,5,3,2,1,5,3,2,3.6666666667,23.3333333333
ABCF_12,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,2,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,2,0,5.1,5.6,0,4,5,4,2,4,5,1,3,4,5,2,2,2,3.6666666667,2,3,2.3333333333,22.5
ABCF_13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,6,1,3,3.6666666667,3,3,4,5,3,3,3,3.6666666667,2,2,2,3.6666666667,,1,5,23.3333333333
